Título,Duración,Dificultad,Ingredientes
Bizcocho de zanahoria,1h 55min,fácil,"['Huevos', 'Sal', 'Avellanas', 'Almendras', 'Zanahorias', 'Azúcar', 'AzúcarAvainillado', 'Maicena', 'Limón', 'Canela', 'Kirsch', 'Mantequilla', 'Azúcar', 'Limón', 'Zanahorias', 'Mazapán', 'PistachosPicados']"
Feta con pesto,20min,fácil,"['Ajo', 'Tomates', 'Aceite', 'Anacardos', 'Sal', 'Pimienta', 'AceiteDeOliva', 'QuesoFeta']"
Rollitos de carne picada bajos en hidratos de carbono,47min,medio,"['Tortita', 'Emmental', 'QuarkDesnatado', 'Huevos', 'Sal', 'Cebolla', 'Pepinillos', 'Mayonesa', 'Kétchup', 'VinagreBalsámico', 'Sal', 'Pimienta', 'Lechuga', 'AceiteDeGirasol', 'CarnePicadaDeTernera']"
Pan de lentejas sin gluten,1h 15min,fácil,"['Pan', 'Lentejas', 'Sésamo', 'Harina', 'Sal', 'Curry', 'Levadura', 'SemillasDeChía', 'AguaConGas', 'Huevos', 'Mantequilla']"
Gofres de maíz con guacamole,40min,medio,"['PimientoRojo', 'Harina', 'Maíz', 'Bicarbonato', 'Levadura', 'Huevos', 'AceiteDeGirasol', 'Yogur', 'AguaConGas', 'Sal', 'Pimienta', 'Maíz', 'Guacamole', 'Tomate', 'Cebolla', 'Ajo', 'Aguacate', 'Lima', 'Harissa', 'Sal', 'Pimienta']"
Croquetas de lentejas con salsa de yogur,1h 10min,medio,"['Pan', 'Perejil', 'Chalotes', 'Zanahorias', 'Ajo', 'Sémola', 'Cuscús', 'Lentejas', 'Sal', 'CurryPicante', 'Pimienta', 'Guindilla', 'Salsa', 'Eneldo', 'Pepino', 'Yogur', 'QuarkDesnatado', 'ZumoDeLimón', 'Sal', 'Pimienta', 'AceiteVegetal']"
Muffins navideños,35min,fácil,"['Mantequilla', 'AzúcarMoreno', 'Sal', 'Miel', 'Huevos', 'HarinaDeRepostería', 'Levadura', 'EspeciasNavideñas', 'Leche', 'Magdalenas', 'AzúcarGlas']"
Pastel de almendra y mazapán con compota de fresa y vainilla,1h 40min,fácil,"['Huevos', 'Sal', 'Almendras', 'Mantequilla', 'Azúcar', 'AzúcarAvainillado', 'MazapánCrudo', 'HarinaDeRepostería', 'Levadura', 'Fresas', 'ZumoDeNaranja', 'Vainilla', 'Maicena', 'Mantequilla', 'PanRallado']"
Patatas de mazapán,12h 15min,fácil,"['Azúcar', 'Almendras', 'LicorDeNaranja', 'Cacao']"
Pollo a la mediterránea,54min,fácil,"['SemillasDeHinojo', 'Chalotes', 'Ajo', 'AceitunasNegras', 'AceiteDeOliva', 'Patatas', 'Sal', 'Tomate', 'VinoBlanco', 'Tomate', 'Azúcar', 'HierbasAromáticas', 'Pimienta', 'PechugaDePollo', 'Hinojo']"
Lasaña mexicana,1h,medio,"['Queso', 'Edamer', 'Cebolla', 'Ajo', 'AceiteDeOliva', 'CarnePicadaDeTernera', 'Sal', 'PimentónAhumado', 'CominoMolido', 'CanelaMolida', 'Pimienta', 'Guindilla', 'AlubiasCocidas', 'Maíz', 'Tomate', 'Cebolletas', 'NataAgria', 'TortillasDeTrigo', 'Mantequilla']"
Pasta con leche,27min,fácil,"['Mantequilla', 'Leche', 'Azúcar', 'AzúcarAvainillado', 'Sal', 'Pasta']"
Lahmacun (pizza turca),1h 36min,medio,"['Azúcar', 'Levadura', 'HarinaDeRepostería', 'AceiteDeOliva', 'Sal', 'Cebollas', 'Ajo', 'Tomate', 'CarnePicadaDeTernera', 'AceiteDeOliva', 'Ajvar', 'Tomate', 'Pimentón', 'Cayena', 'Sal', 'Pimienta', 'Lima', 'Menta', 'YogurGriego', 'Piñones']"
Tarta de nectarinas y suero de mantequilla,4h,medio,"['Nata', 'Nectarinas', 'GalletasDeMantequillaIntegrales', 'Mantequilla', 'Gelatina', 'SueroDeMantequilla', 'QuarkDesnatado', 'Mascarpone', 'Azúcar', 'EsenciaDeVainilla', 'ZumoDeLimón']"
Ensalada de pasta con mayonesa,1h 29min,medio,"['Huevo', 'ZumoDeLimón', 'Mostaza', 'Sal', 'Pimienta', 'Azúcar', 'AceiteDeGirasol', 'Pepinillos', 'Yogur', 'Ensalada', 'Huevos', 'EspiralesDePasta', 'Pepinillos', 'PimientoMorrón', 'Maíz', 'Salchicha']"
Caracolas de salmón y eneldo,3h 20min,medio,"['Pasta', 'Eneldo', 'Huevos', 'Sal', 'Queso', 'Alcaparras', 'SalmónAhumado', 'Queso', 'Pimienta', 'NuezMoscada', 'ZumoDeLimón', 'Aceite']"
Sopa de arroz y pimiento con albóndigas,1h 11min,medio,"['Pan', 'Chalotes', 'Ajo', 'Orégano', 'Mozzarella', 'Alcaparras', 'CarnePicada', 'Huevo', 'Sal', 'Pimienta', 'Cebolla', 'PimientosDelPiquillo', 'AceiteDeOliva', 'TomateTriturado', 'CaldoDeVerduras', 'PimentónAhumado', 'ArrozBasmati', 'NataAgria']"
Pasta con atún,27min,fácil,"['Cebolla', 'Ajo', 'Anchoas', 'Atún', 'AceiteDeOliva', 'Alcaparras', 'NataLíquida', 'Tomate', 'Orégano', 'ZumoDeLimón', 'Sal', 'Pimienta', 'Plumas', 'Parmesano', 'Perejil']"
Rollitos de creps,57min,medio,"['Cebollino', 'NataAgria', 'Sal', 'Pimienta', 'Mostaza', 'ZumoDeLimón', 'Huevos', 'Leche', 'HarinaDeRepostería', 'Sal', 'ArrozBasmati', 'Sal', 'Chalote', 'Ajo', 'AceiteDeOliva', 'CarnePicadaDeTernera', 'Pimentón', 'Pimienta', 'Guindilla', 'AceiteVegetal']"
Sal condimentada,5min,fácil,"['Sal', 'Curry', 'PimentónPicante', 'Romero', 'Cayena', 'AjoMolido']"
Ensalada de colinabo y manzana,10min,fácil,"['Menta', 'Nueces', 'Colinabos', 'Zanahorias', 'Manzanas', 'ZumoDeLimón', 'VinagreDeVinoBlanco', 'AceiteDeOliva', 'Sal', 'Pimienta']"
Bombones de chocolate blanco y galleta,2h 16min,fácil,"['ChocolateBlanco', 'GalletasRellenas', 'AceiteDeCoco', 'Bombones']"
Koftas con salsa de yogur,1h 53min,fácil,"['Perejil', 'Chalotes', 'Ajo', 'AceiteVegetal', 'CaldoDeVerduras', 'CarnePicadaDeTernera', 'Bulgur', 'Huevo', 'CominoMolido', 'PimentónDulce', 'GuindillaMolida', 'Sal', 'Menta', 'Pepino', 'Yogur', 'AceiteDeOliva', 'ZumoDeLimón', 'Azúcar']"
Pato crujiente con salsa de ciruela asiática,2h 5min,fácil,"['Pato', 'MezclaDeEspeciasChinas', 'Sal', 'Jengibre', 'Anís', 'Canela', 'Zanahoria', 'Chirivía', 'Cebolla', 'Puerro', 'CaldoDePato', 'MermeladaDeCiruela', 'SalsaDeSoja', 'Pimienta']"
Mermelada de fresa y vainilla con semillas de chía,1h,fácil,"['Fresas', 'JarabeDeFlorDeCoco', 'VainillaMolida', 'SemillasDeChía']"
Cazuela de pasta con pavo,33min,fácil,"['PimientoRojo', 'Cebolla', 'PechugaDePavo', 'AceiteDeOliva', 'Tomate', 'Tomate', 'CaldoDePollo', 'NataLíquida', 'SalsaWorcestershire', 'Orégano', 'Azúcar', 'Sal', 'Pimienta', 'Macarrones', 'Albahaca']"
Ensalada de quinoa y falafel,1h 20min,difícil,"['Ajo', 'Perejil', 'Boniatos', 'Quinoa', 'Sal', 'Limón', 'Garbanzos', 'Comino', 'Pimienta', 'HarinaDeRepostería', 'Lechuga', 'Espinacas', 'Pepino', 'TomatesCherry', 'Menta', 'QuarkDesnatado', 'Yogur']"
Risi e Bisi-Arroz con guisantes,33min,fácil,"['Queso', 'Parmesano', 'Perejil', 'Chalote', 'Ajo', 'AceiteDeOliva', 'ArrozArborio', 'VinoBlanco', 'CaldoDeVerduras', 'Sal', 'Pimienta', 'JamónCocido', 'Guisantes', 'Mantequilla']"
Risotto con salmón y cebollino,42min,fácil,"['LomoDeSalmón', 'Tomillo', 'Parmesano', 'Chalotes', 'Mantequilla', 'ArrozArborio', 'CaldoDeGallina', 'Limón', 'NuezMoscada', 'Sal', 'Pimienta', 'Cebollino']"
Mermelada de cebolla roja,32min,fácil,"['Cebollas', 'Ajo', 'AzúcarMoreno', 'Mantequilla', 'Tomillo', 'VinagreBalsámico', 'VinoTinto', 'Comino', 'Sal', 'Pimienta']"
Huevos revueltos al vapor,27min,fácil,"['Emmental', 'Chalotes', 'AceiteDeOliva', 'TomatesCherry', 'Huevos', 'Leche', 'Pimienta', 'Sal', 'CebollinoPicado', 'Aceite']"
Aderezo de yogur y nata agria,10min,fácil,"['Cebolla', 'Ajo', 'VinagreDeVinoBlanco', 'Azúcar', 'Sal', 'Pimienta', 'Huevo', 'AceiteVegetal', 'Nata', 'Yogur']"
Bastoncitos picantes de calabaza con salsa para mojar,45min,fácil,"['Calabaza', 'Maicena', 'RasElHanout', 'Guindilla', 'Sal', 'AceiteDeOliva', 'PanRallado', 'Parmesano', 'Perejil', 'Naranja', 'Quark', 'NataAgria', 'Pimienta']"
Ajo picante en aceite,30min,fácil,"['Ajo', 'Guindillas', 'AceiteDeOliva']"
Bacalao en lecho de puré de patata y zanahoria,53min,fácil,"['Perejil', 'Tomillo', 'AnacardosTostados', 'Parmesano', 'Alcaparras', 'Tomates', 'Aceite', 'Chalotes', 'Aceite', 'Sal', 'LomoDeBacalao', 'Patatas', 'Zanahorias', 'CaldoDeVerduras', 'Mantequilla', 'Limón', 'NuezMoscada', 'Pimienta', 'Limón']"
Panecillos de patata,3h 28min,medio,"['Panecillos', 'Panecillos', 'Sal', 'Patatas', 'Levadura', 'Azúcar', 'Harina', 'HarinaDeCenteno', 'AceiteDeOliva', 'Harina']"
Tarta Blancanieves,4h 40min,medio,"['NataLíquida', 'Gelatina', 'QuarkDesnatado', 'Azúcar', 'ZumoDeLimón', 'Azúcar', 'AzúcarAvainillado', 'Mantequilla', 'Huevos', 'HarinaDeRepostería', 'Levadura', 'Cacao', 'Zumo', 'Cereza', 'Mantequilla', 'PanRallado']"
Fideos asiáticos con hortalizas,30min,fácil,"['TomatesCherry', 'Tirabeques', 'Zanahorias', 'CacahuetesTostadosSalados', 'AceiteDeCoco', 'PastaParaTomKha', 'LecheDeCoco', 'Caldo', 'Gallina', 'FideosParaWok', 'Cilantro']"
Limoncello rápido,1h 17min,fácil,"['Limón', 'Azúcar', 'Ginebra']"
Helado de chocolate saludable,8h 5min,fácil,"['Plátanos', 'Aguacate', 'Cacao', 'SiropeDeAgave']"
Solomillo de cerdo con puré de colinabo,57min,medio,"['Tomates', 'Aceite', 'Chalotes', 'AceiteDeOliva', 'HarinaDeRepostería', 'NataLíquida', 'Sal', 'Pimienta', 'Patatas', 'Colinabo', 'Sal', 'Leche', 'Mantequilla', 'PerejilPicado', 'VinagreDeManzana', 'Pimienta', 'Solomillo', 'SolomilloDeCerdo', 'Sal', 'Pimienta', 'MostazaPicante']"
Queso fresco casero,45min,medio,"['Leche', 'Limón', 'Sal', 'Nata']"
Espaguetis aglio e olio,28min,fácil,"['Parmesano', 'Perejil', 'Ajo', 'Guindilla', 'AceiteDeOliva', 'Sal', 'Espaguetis', 'Pimienta']"
Pastel de galleta y chocolate,3h 30min,medio,"['Azúcar', 'ChocolateNegro', 'AceiteDeCoco', 'Huevos', 'EsenciaDeVainilla', 'Sal', 'Cacao', 'Leche', 'GalletasDeMantequilla']"
Ñoquis con crema de espinacas y gorgonzola,34min,fácil,"['Cebolla', 'Ajo', 'AceiteDeOliva', 'Espinacas', 'Gorgonzola', 'NataLíquida', 'CaldoDeVerduras', 'Guindilla', 'ZumoDeLimón', 'Sal', 'Pimienta', 'Nueces']"
Bacalao con hortalizas y puré de patata,53min,medio,"['Calabacín', 'Berenjena', 'Bacalao', 'Patatas', 'Sal', 'Pimienta', 'ZumoDeLimón', 'Leche', 'Mantequilla', 'NuezMoscada', 'Chalotes', 'Tomate', 'Tomillo']"
Tiras de bistec con pimientos,39min,fácil,"['PimientoRojoNaranjaYAmarillo', 'Perejil', 'Cebollas', 'AceiteDeOliva', 'Tomate', 'Azúcar', 'HarinaDeRepostería', 'Tomate', 'CaldoDeVerduras', 'HierbasPicadas', 'PimentónAhumado', 'Sal', 'Pimienta', 'Mantequilla', 'BistecDeTernera', 'NataAgria', 'Limón', 'ZumoDeLimón']"
Quark de stracciatella con frambuesas,10min,fácil,"['Frambuesas', 'ChocolateNegro', 'Quark', 'NataLíquida', 'JarabeDeArce', 'AzúcarAvainillado', 'ZumoDeLimón']"
Bacalao en lecho de cuscús de brócoli y coliflor,35min,fácil,"['LomoDeBacalao', 'AceiteVegetal', 'QuesoPecorino', 'Brócoli', 'Coliflor', 'Sal', 'CaldoDeVerduras', 'Almendra', 'Cebollino', 'Lima', 'NataAgria', 'NuezMoscada', 'Pimienta']"
Paté,5min,fácil,"['Chalote', 'JamónCocido', 'JamónCurado', 'Queso', 'PimentónDulce', 'Pimienta']"
Caramelos de yogur,12h 10min,fácil,"['NéctarDeArándanos', 'Gelatina', 'GelatinaDeFrambuesa', 'Yogur', 'JarabeDeFrambuesa']"
Estofado irlandés,1h 12min,medio,"['Zanahorias', 'Apio', 'Cebollas', 'Ajo', 'AceiteDeOliva', 'HarinaDeRepostería', 'Tomate', 'CarneDeCordero', 'Cerveza', 'Patatas', 'JarabeDeRemolacha', 'Sal', 'Pimienta', 'Perejil']"
Jarabe de jengibre y limón,1h 10min,fácil,"['Jengibre', 'Limón', 'Azúcar']"
Tiramisú de frambuesa,2h 15min,medio,"['Azúcar', 'Frambuesas', 'Gelatina', 'Vainilla', 'Amaretto', 'QuarkDesnatado', 'Mascarpone', 'Nata', 'Soletilla', 'ChocolateBlanco']"
Mostaza dulce,15min,medio,"['Mostaza', 'Cebolla', 'VinagreDeVinoBlanco', 'AzúcarMoreno', 'AzúcarBlanco', 'Clavos', 'CanelaMolida']"
Mermelada de frambuesa y mango,1h 20min,medio,"['Frambuesas', 'Vainilla', 'Azúcar', 'Mango', 'ZumoDeMaracuyá']"
Salsa de guindilla agridulce,15min,fácil,"['Ajo', 'Guindillas', 'Azúcar', 'ZumoDePiña', 'VinagreDeManzana', 'Maicena']"
Pastel de queso salado,3h 37min,fácil,"['GalletasSaladas', 'Mantequilla', 'Ajo', 'Lechuga', 'Piñones', 'Parmesano', 'AceiteDeOliva', 'Sal', 'Pimienta', 'Queso', 'Quark', 'Huevos']"
Pan de mono dulce,3h 50min,medio,"['Levadura', 'Leche', 'Azúcar', 'Mantequilla', 'HarinaDeRepostería', 'Sal', 'AzúcarMoreno', 'CanelaMolida', 'Harina', 'Mantequilla']"
Pan para tostadas (sin gluten),1h 15min,fácil,"['Pan', 'Mantequilla', 'Yogur', 'VinagreDeVinoBlanco', 'CáscaraDePsyllium', 'Huevos', 'HarinaDeAlmendra', 'Levadura', 'Sal', 'Mantequilla']"
Pan de tomate,1h 40min,fácil,"['Tomates', 'Levadura', 'Azúcar', 'HarinaDeRepostería', 'HarinaIntegralDeCenteno', 'Sal', 'AceiteDeOliva', 'Tomate', 'Harina']"
Tartar vegano,10min,fácil,"['GalletasDeArroz', 'Cebolla', 'Ajo', 'Tomates', 'CaldoDeVerduras', 'Tomate', 'PimentónPicante', 'AceiteVegetal', 'Sal', 'Pimienta', 'Perejil']"
Ensalada de pollo,30min,fácil,"['Perejil', 'Anacardos', 'PechugaDePollo', 'CaldoDeAve', 'Sal', 'Manzana', 'Pepino', 'Apio', 'Cebolletas', 'Espinacas', 'AceiteDeOliva', 'VinagreDeVinoBlanco', 'Mostaza', 'ZumoDeLimón', 'Miel', 'Sal', 'Pimienta']"
Granola de nueces,38min,fácil,"['Nueces', 'Avena', 'Avena', 'SalvadoDeAvena', 'LinazaTriturada', 'AceiteVegetal', 'JarabeDeArce']"
Muslos de pollo con marinada de tomate y pimiento,2h 38min,fácil,"['Chalotes', 'AceiteDeCacahuete', 'Azúcar', 'Tomate', 'Orégano', 'ZumoDeLimón', 'CebollaMolida', 'PimentónAhumado', 'GuindillaMolida', 'Sal', 'MuslitosDePollo', 'Muslos']"
Minigyros con crema de queso a las hierbas,2h 48min,medio,"['Azúcar', 'Levadura', 'HarinaDeRepostería', 'AceiteDeOliva', 'Sal', 'QuesoFeta', 'Queso', 'CominoMolido', 'Limón', 'ZumoDeLimón', 'Pimienta', 'CarneParaGyrosCondimentada', 'Tomate', 'Huevo', 'Harina']"
Lasaña de calabacín,2h 31min,medio,"['Hierbas', 'Limón', 'NataAgria', 'Sal', 'Pimienta', 'Cebolla', 'Ajo', 'Zanahoria', 'Apio', 'AceiteDeOliva', 'CarnePicada', 'Panceta', 'Caldo', 'Verduras', 'Carne', 'Azúcar', 'Tomate', 'Tomate', 'PimentónDulce', 'Canela', 'Sal', 'Pimienta', 'Tomillo', 'CalabacínAmarillos', 'QuesoFeta', 'Mantequilla']"
"Granizado de fresa, naranja y aperol",6h 40min,fácil,"['Fresas', 'Naranja', 'Azúcar', 'Aperol', 'VinoBlanco', 'Albahaca']"
Sorbete de gin tonic,8h 10min,fácil,"['Lima', 'Azúcar', 'Albahaca', 'ZumoDeLima', 'Ginebra', 'Tónica']"
Coliflor rellena,48min,medio,"['Perejil', 'Chalotes', 'CarnePicadaDeCerdo', 'Huevo', 'Tomate', 'Mostaza', 'Sal', 'Pimienta', 'Coliflor', 'Patatas', 'CaldoDeVerduras', 'Mantequilla', 'HarinaDeRepostería', 'NataLíquida', 'YemaDeHuevo']"
Pinchitos de berenjena,45min,fácil,"['Berenjena', 'Sal', 'Perejil', 'Ajo', 'Alcaparras', 'Tomates', 'Pan', 'AceiteDeOliva', 'Pimienta']"
Albóndigas de pollo con ensalada,2h 30min,medio,"['VinagreDeManzana', 'Mostaza', 'Azúcar', 'Sal', 'Pimienta', 'CaldoDeVerduras', 'AceiteVegetal', 'Aceite', 'Nuez', 'Berros', 'Ensalada', 'Lechuga', 'Pepino', 'Zanahorias', 'TrigoSarraceno', 'PechugaDePollo', 'Panecillos', 'Perejil', 'Huevos', 'Sal', 'Pimienta', 'LinazaTriturada', 'AceiteVegetal']"
Sopa helada de pepino y aguacate,26min,fácil,"['Chalote', 'Ajo', 'AceiteDeOliva', 'Pepinos', 'Aguacate', 'Zumo', 'Lima', 'Eneldo', 'Verduras', 'VinagreDeManzana', 'Tabasco', 'Sal', 'Hielo']"
Flan de naranja al vapor,45min,medio,"['Huevos', 'Sal', 'Naranjas', 'Azúcar', 'Mantequilla', 'Leche', 'Mantequilla', 'Azúcar', 'Canela']"
Gambas agridulces,43min,fácil,"['Cilantro', 'Cebolla', 'Ajo', 'AceiteVegetal', 'Lima', 'Sal', 'Tirabeques', 'PimientoAmarillo', 'PimientoRojo', 'Pimienta', 'Gambas', 'Jengibre', 'Sésamo', 'Piña', 'Kétchup', 'VinagreDeVinoBlanco', 'Salsa', 'Guindilla', 'Miel', 'SalsaDeSoja', 'Maicena']"
Batido cremoso de matcha con almendra y coco,18min,fácil,"['LecheDeAlmendras', 'LecheDeCoco', 'AzúcarAvainillado', 'AzúcarDeFlorDeCoco', 'TéMatcha', 'Hielo']"
Frozen Bellini (Frozecco),8h 40min,fácil,"['Prosecco', 'Melocotón', 'AzúcarMoreno', 'NéctarDeMango', 'HieloPicado', 'Menta']"
Pan de pita,1h 30min,fácil,"['Azúcar', 'Levadura', 'HarinaDeRepostería', 'AceiteDeOliva', 'Sal', 'Huevo', 'SemillasDeCominoNegro', 'AceiteDeOliva', 'Harina']"
Gelatina de fresa con salsa de vainilla,12h 51min,fácil,"['Gelatina', 'Fresas', 'Menta', 'Gelatina', 'Limón', 'Azúcar', 'Vainilla', 'Maicena', 'Leche', 'Azúcar', 'Huevo', 'Menta']"
Bolitas energéticas,10min,fácil,"['Almendras', 'Avena', 'BayasDeGoji', 'Dátiles', 'AceiteDeCoco', 'Cacao', 'Sal', 'Coco', 'SemillasDeChía']"
Tarta Danubio,6h 55min,medio,"['Guindas', 'PreparadoParaNatillas', 'Leche', 'Azúcar', 'Mantequilla', 'Mantequilla', 'Azúcar', 'AzúcarAvainillado', 'HarinaDeRepostería', 'Levadura', 'Huevos', 'Cacao', 'Leche', 'ChocolateNegro', 'AceiteDeCoco']"
Scones de arándanos y naranja,30min,medio,"['HarinaDeRepostería', 'Levadura', 'Azúcar', 'Sal', 'Mantequilla', 'Leche', 'Naranjas', 'ArándanosRojos', 'Harina']"
Helado de masa para cookies,10h 20min,fácil,"['Leche', 'YemaDeHuevo', 'JarabeDe', 'Azúcar', 'Sal', 'EsenciaDeVainilla', 'NataLíquida']"
Masa para cookies,5min,fácil,"['HarinaDeRepostería', 'AzúcarMascabado', 'AzúcarBlanco', 'Mantequilla', 'Sal', 'Vainilla', 'EsenciaDeVainilla', 'Leche', 'Chocolate']"
Chili sin carne,42min,fácil,"['Soja', 'CaldoDeVerduras', 'Maíz', 'AlubiasCocidas', 'PimientoRojo', 'Cebollas', 'Ajo', 'AceiteDeOliva', 'Tomate', 'Azúcar', 'Tomate', 'PimentónAhumado', 'CanelaMolida', 'CominoMolido', 'Sal', 'Pimienta', 'Tabasco', 'NataAgria', 'Cebollino']"
Brownies,33min,fácil,"['Mantequilla', 'Azúcar', 'Cacao', 'EsenciaDeVainilla', 'Huevos', 'HarinaDeRepostería', 'Levadura']"
Albóndigas de cerdo con hortalizas y salsa de setas,50min,medio,"['Perejil', 'Cebolla', 'Ajo', 'Carne', 'SalchichaDeCerdo', 'Setas', 'Zanahorias', 'Patatas', 'Guisantes', 'CaldoDeVerduras', 'Sal', 'NataLíquida', 'Maicena', 'NuezMoscada', 'Pimienta']"
Ponche de pera,20min,fácil,"['PeraMaduras', 'Naranja', 'VinoBlanco', 'ClavoMolido', 'CanelaMolida', 'Miel', 'Naranja']"
Puchero de hortalizas con carne picada,52min,fácil,"['NataAgria', 'ZumoDeLimón', 'Sal', 'Pimienta', 'PimientoRojo', 'PimientoAmarillo', 'Patatas', 'JudíasVerdes', 'Puerro', 'CebollaDulce', 'GuindillaNoPicante', 'AceiteDeOliva', 'Azúcar', 'CarnePicada', 'HarinaDeRepostería', 'Tomate', 'CaldoDeVerduras', 'Queso', 'Gouda', 'HierbasProvenzales', 'PimentónDulce', 'NuezMoscada']"
Salsa barbacoa,58min,fácil,"['Chalotes', 'AceiteDeOliva', 'Tomillo', 'Romero', 'Tomate', 'TomateTriturado', 'CompotaDeManzana', 'VinagreDeManzana', 'Cerveza', 'SalsaWorcestershire', 'Miel', 'PimentónAhumado', 'CominoMolido', 'PimientaMolida', 'Sal', 'Pimienta']"
Batido de plátano y mango,5min,fácil,"['Plátanos', 'Mango', 'QuarkDesnatado', 'SiropeDeAgave', 'Arándanos', 'Coco', 'Almendras', 'SemillasDeChía', 'CremaDeCacahuete']"
Merengues,2h 50min,fácil,"['Azúcar', 'ClarasDeHuevos', 'EsenciaDeVainilla']"
Solomillo de buey al estilo asiático,32min,fácil,"['ArrozBasmati', 'Sal', 'Zanahoria', 'JudíasVerdes', 'SolomilloDeBuey', 'Jengibre', 'Guindilla', 'Ajo', 'SalsaDeSoja', 'Miel', 'Sésamo', 'AceiteDeSésamo', 'Maicena']"
Albóndigas asiáticas,50min,fácil,"['Cacahuetes', 'Cilantro', 'Cebolla', 'Ajo', 'AceiteVegetal', 'SalsaDeSoja', 'Sal', 'Pimienta', 'Cayena', 'CarnePicadaDeCerdo', 'ArrozBasmati', 'Salsa', 'PimientoRojo', 'Zanahoria', 'Kétchup', 'ZumoDePiña', 'Vinagre', 'Sal', 'Maicena', 'Sésamo', 'Cebolletas']"
Vinagre de albaricoque,25min,fácil,"['OrejonesDeAlbaricoque', 'VinagreBalsámico', 'Miel']"
Pastel crujiente de manzana y nuez,1h 35min,fácil,"['Leche', 'Azúcar', 'Mantequilla', 'Levadura', 'HarinaDeRepostería', 'Huevo', 'Azúcar', 'Mantequilla', 'HarinaDeRepostería', 'Sal', 'CanelaMolida', 'Nueces', 'Manzanas', 'Limón', 'NataAgria']"
Antipasti,1h 25min,fácil,"['Berenjena', 'Calabacín', 'Sal', 'Champiñones', 'PimientosRojos', 'Pimienta', 'Ajo', 'Romero', 'Orégano', 'AceiteDeOliva', 'VinagreBalsámico']"
Pastel de pancakes con arándanos,1h 20min,fácil,"['Arándanos', 'NataLíquida', 'Quark', 'Cremoso', 'ZumoDeLimón', 'Azúcar', 'VainillaMolida', 'Mermelada', 'Arándanos', 'Pancakes', 'JarabeDeArce']"
Triángulos al sésamo,9h 15min,medio,"['Leche', 'Levadura', 'Azúcar', 'HarinaDeRepostería', 'Sal', 'YogurGriego', 'Huevo', 'AceiteDeGirasol', 'Mantequilla', 'Bicarbonato', 'Sésamo', 'Harina']"
Bocaditos queso y panceta,1h 25min,fácil,"['QuesoGouda', 'Cebolletas', 'Mantequilla', 'Sal', 'Azúcar', 'HarinaDeRepostería', 'Panceta', 'Huevos', 'Pimienta', 'NuezMoscada']"
Tarta de gofres con espinacas y salmón ahumado,55min,fácil,"['Espinacas', 'Pimienta', 'Leche', 'HarinaDeRepostería', 'Huevos', 'Aceite', 'Levadura', 'Sal', 'Queso', 'EneldoPicadas', 'ZumoDeLimón', 'Limón', 'RábanoPicante', 'Pimienta', 'SalmónAhumado', 'Huevas', 'Salmón', 'Trucha']"
Ternera al estilo vienés con salsa de hierbas,1h 48min,medio,"['HierbasAromáticas', 'Zanahorias', 'Apio', 'Cebollas', 'Enebrinas', 'HojaDeLaurel', 'Ternera', 'Sal', 'Pimienta', 'Ajo', 'AceiteDeOliva', 'CaldoDeVerduras', 'Patatas', 'HarinaDeRepostería', 'NataAgria']"
Sorbete de limón y cava,20min,fácil,"['Limón', 'Azúcar', 'Huevos', 'Cava', 'Menta', 'FrutasDelBosque']"
Nubes de azúcar de frambuesa y granada,12h 40min,medio,"['Huevos', 'Sal', 'Azúcar', 'Frambuesas', 'Gelatina', 'JarabeDeGranada', 'Mantequilla', 'Maicena']"
Paté de hígado de ternera,1h 45min,fácil,"['Cebolla', 'Mantequilla', 'PaletillaDeCerdo', 'Panceta', 'Sal', 'HojaDeLaurel', 'Enebrinas', 'Tomillo', 'Pimienta', 'PimientaNegra', 'Ajedrea', 'Mejorana', 'HígadoDeTernera']"
Jarabe de café casero,1h 21min,fácil,"['Café', 'Azúcar', 'Vainilla']"
Jarabe de chai,8h 35min,fácil,"['Cardamomo', 'Clavos', 'Anís', 'Canela', 'Jengibre', 'AzúcarMoreno']"
Capuchino en polvo,15min,fácil,"['Azúcar', 'Café', 'LecheDesnatada', 'Cacao']"
Mostaza de casis,5min,fácil,"['Mostaza', 'Estragón', 'VinagreDeManzana', 'MermeladaDeGrosellasNegras', 'Sal']"
Dulce de leche,1h 20min,fácil,"['Vainilla', 'LechePasteurizada', 'NataLíquida', 'AzúcarMoreno', 'Azúcar']"
Jarabe para la tos,52min,fácil,"['Jengibre', 'Salvia', 'Llantén', 'Tomillo', 'SemillasDeHinojo', 'ZumoDeLimón', 'AzúcarMoreno']"
Pan de frutas navideño,1h 30min,fácil,"['Levadura', 'Azúcar', 'Leche', 'Harina', 'Mantequilla', 'Huevo', 'AceiteDeGirasol', 'Almendras', 'Avellanas', 'CiruelasPasas', 'ArándanosRojos', 'OrejonesDeAlbaricoque', 'Higos', 'Especias', 'EsenciaDeVainilla', 'VainillaMolida', 'ZumoDeLimón', 'Miel']"
Pastas de manzana asada,2h 35min,medio,"['Azúcar', 'Levadura', 'Leche', 'Naranja', 'HarinaDeRepostería', 'Mantequilla', 'AzúcarAvainillado', 'Manzana', 'Mazapán', 'CanelaMolida', 'CardamomoMolido', 'HarinaDeRepostería', 'Leche']"
Salchichones de chocolate,2h 10min,fácil,"['FrutosVariados', 'ChocolateNegro', 'Naranja', 'Mantequilla', 'GalletasDeMantequilla', 'ChocolateBlanco', 'AzúcarGlas']"
